id,Country,GDP per capita,Energy consumption per capita (kWh),z-score(For GDP),z-score (Energy),SignedValue
583,F.S. Micronesia,3.632,0,-0.52,-1.11,0.44
242,Fiji,6.184,0,-0.43,-1.11,0.44
258,French Polynesia (France),21.588,0,0.11,-1.11,0.44
266,Gabon,7.771,0,-0.38,-1.11,0.44
270,Gambia,0.776,0,-0.63,-1.11,0.44
268,Georgia[r],4.439,0,-0.5,-1.11,0.44
288,Ghana,2.324,0,-0.57,-1.11,0.44
304,Greenland (Denmark),53.035,0,1.22,-1.11,0.44
308,Grenada,10.812,0,-0.27,-1.11,0.44
320,Guatemala,4.363,0,-0.5,-1.11,0.44
324,Guinea,0.967,0,-0.62,-1.11,0.44
624,Guinea-Bissau,0.688,0,-0.63,-1.11,0.44
328,Guyana,6.607,0,-0.42,-1.11,0.44
332,Haiti,0.715,0,-0.63,-1.11,0.44
340,Honduras,2.575,0,-0.56,-1.11,0.44
384,Ivory Coast,2.276,0,-0.57,-1.11,0.44
388,Jamaica,5.37,0,-0.46,-1.11,0.44
400,Jordan,4.405,0,-0.5,-1.11,0.44
404,Kenya,1.817,0,-0.59,-1.11,0.44
296,Kiribati,1.644,0,-0.59,-1.11,0.44
417,Kyrgyzstan,1.318,0,-0.61,-1.11,0.44
418,Laos,2.625,0,-0.56,-1.11,0.44
422,Lebanon,8.228,0,-0.36,-1.11,0.44
426,Lesotho,1.158,0,-0.61,-1.11,0.44
430,Liberia,0.523,0,-0.63,-1.11,0.44
434,Libya,4.81,0,-0.48,-1.11,0.44
438,Liechtenstein,178.868,0,5.67,-1.11,0.44
446,Macau (China),84.155,0,2.32,-1.11,0.44
450,Madagascar,0.523,0,-0.63,-1.11,0.44
454,Malawi,0.435,0,-0.64,-1.11,0.44
462,Maldives,10.625,0,-0.28,-1.11,0.44
466,Mali,0.887,0,-0.62,-1.11,0.44
470,Malta,33.78,0,0.54,-1.11,0.44
584,Marshall Islands,4.017,0,-0.51,-1.11,0.44
478,Mauritania,1.678,0,-0.59,-1.11,0.44
480,Mauritius[s],11.827,0,-0.23,-1.11,0.44
498,Moldova[q],2.957,0,-0.55,-1.11,0.44
492,Monaco,190.333,0,6.07,-1.11,0.44
496,Mongolia,4.295,0,-0.5,-1.11,0.44
499,Montenegro,8.825,0,-0.34,-1.11,0.44
500,Montserrat (United Kingdom),13.4,0,-0.18,-1.11,0.44
508,Mozambique,0.504,0,-0.64,-1.11,0.44
104,Myanmar,1.421,0,-0.6,-1.11,0.44
516,Namibia,4.956,0,-0.48,-1.11,0.44
520,Nauru,12,0,-0.23,-1.11,0.44
524,Nepal,1.074,0,-0.61,-1.11,0.44
540,New Caledonia (France),34.908,0,0.58,-1.11,0.44
558,Nicaragua,1.913,0,-0.59,-1.11,0.44
562,Niger,0.555,0,-0.63,-1.11,0.44
566,Nigeria,2.361,0,-0.57,-1.11,0.44
408,North Korea,0.636,0,-0.63,-1.11,0.44
585,Palau,15.556,0,-0.1,-1.11,0.44
275,Palestine,3.425,0,-0.53,-1.11,0.44
591,Panama,15.729,0,-0.1,-1.11,0.44
598,Papua New Guinea,2.845,0,-0.55,-1.11,0.44
600,Paraguay,5.406,0,-0.46,-1.11,0.44
630,Puerto Rico,35.795,0,0.61,-1.11,0.44
646,Rwanda,0.82,0,-0.62,-1.11,0.44
678,São Tomé and Príncipe,1.958,0,-0.58,-1.11,0.44
659,Saint Kitts and Nevis,19.811,0,0.05,-1.11,0.44
662,Saint Lucia,11.596,0,-0.24,-1.11,0.44
666,Saint Pierre and Miquelon,137.5,0,4.21,-1.11,0.44
674,San Marino,47.118,0,1.01,-1.11,0.44
686,Senegal,1.452,0,-0.6,-1.11,0.44
688,Serbia,6.775,0,-0.41,-1.11,0.44
690,Seychelles,17.327,0,-0.04,-1.11,0.44
694,Sierra Leone,0.527,0,-0.63,-1.11,0.44
534,Sint Maarten,24.024,0,0.2,-1.11,0.44
90,Solomon Islands,1.943,0,-0.58,-1.11,0.44
706,Somalia,0.105,0,-0.65,-1.11,0.44
728,South Sudan,0.448,0,-0.64,-1.11,0.44
729,Sudan,0.815,0,-0.62,-1.11,0.44
740,Suriname,6.363,0,-0.43,-1.11,0.44
760,Syria,1.194,0,-0.61,-1.11,0.44
762,Tajikistan,0.894,0,-0.62,-1.11,0.44
834,Tanzania,1.085,0,-0.61,-1.11,0.44
768,Togo,0.9,0,-0.62,-1.11,0.44
776,Tonga,4.577,0,-0.49,-1.11,0.44
788,Tunisia,3.317,0,-0.54,-1.11,0.44
796,Turks and Caicos Islands,31.5,0,0.46,-1.11,0.44
798,Tuvalu,3.917,0,-0.51,-1.11,0.44
800,Uganda,0.737,0,-0.63,-1.11,0.44
858,Uruguay,16.189,0,-0.08,-1.11,0.44
548,Vanuatu,3.02,0,-0.55,-1.11,0.44
887,Yemen,0.855,0,-0.62,-1.11,0.44
894,Zambia,1.292,0,-0.61,-1.11,0.44
716,Zimbabwe,1.464,0,-0.6,-1.11,0.44
