id,Country,GDP per capita,Energy consumption per capita (kWh)
608,Philippines,3.324,5200.079
144,Sri Lanka,3.94,4671.618
586,Pakistan,1.187,4566.901
50,Bangladesh,1.846,2995.38
4,Afghanistan,0.47,0
8,Albania,5.303,0
16,American Samoa (United States),15.345,0
20,Andorra,40.961,0
24,Angola,2.671,0
660,Anguilla (United Kingdom),25.267,0
28,Antigua and Barbuda,17.124,0
51,Armenia,4.622,0
533,Aruba (Netherlands),31.066,0
44,Bahamas,34.905,0
48,Bahrain,23.506,0
52,Barbados,18.15,0
84,Belize,4.887,0
204,Benin,1.22,0
60,Bermuda (United Kingdom),116.841,0
64,Bhutan,3.36,0
68,Bolivia,3.552,0
70,Bosnia and Herzegovina,6.108,0
72,Botswana,7.96,0
92,British Virgin Islands (United Kingdom),43.2,0
96,Brunei,31.106,0
854,Burkina Faso,0.787,0
108,Burundi,0.276,0
116,Cambodia,1.644,0
120,Cameroon,1.502,0
132,Cape Verde,3.602,0
136,Cayman Islands (United Kingdom),92.615,0
140,Central African Republic,0.468,0
148,Chad,0.707,0
174,Comoros,1.369,0
178,Congo,2.304,0
184,Cook Islands (New Zealand),21.056,0
188,Costa Rica,12.237,0
192,Cuba,9.296,0
531,Curaçao (Netherlands),19.025,0
203,Czech Republic,23.452,0
262,Djibouti,3.251,0
212,Dominica,8.083,0
214,Dominican Republic,8.282,0
180,DR Congo,0.545,0
626,East Timor,1.56,0
222,El Salvador,4.187,0
226,Equatorial Guinea,8.13,0
232,Eritrea,0.566,0
748,Eswatini,4.002,0
231,Ethiopia,0.828,0
583,F.S. Micronesia,3.632,0
242,Fiji,6.184,0
258,French Polynesia (France),21.588,0
266,Gabon,7.771,0
270,Gambia,0.776,0
268,Georgia[r],4.439,0
288,Ghana,2.324,0
304,Greenland (Denmark),53.035,0
308,Grenada,10.812,0
320,Guatemala,4.363,0
324,Guinea,0.967,0
624,Guinea-Bissau,0.688,0
328,Guyana,6.607,0
332,Haiti,0.715,0
340,Honduras,2.575,0
384,Ivory Coast,2.276,0
388,Jamaica,5.37,0
400,Jordan,4.405,0
404,Kenya,1.817,0
296,Kiribati,1.644,0
417,Kyrgyzstan,1.318,0
418,Laos,2.625,0
422,Lebanon,8.228,0
426,Lesotho,1.158,0
430,Liberia,0.523,0
434,Libya,4.81,0
438,Liechtenstein,178.868,0
446,Macau (China),84.155,0
450,Madagascar,0.523,0
454,Malawi,0.435,0
462,Maldives,10.625,0
466,Mali,0.887,0
470,Malta,33.78,0
584,Marshall Islands,4.017,0
478,Mauritania,1.678,0
480,Mauritius[s],11.827,0
498,Moldova[q],2.957,0
492,Monaco,190.333,0
496,Mongolia,4.295,0
499,Montenegro,8.825,0
500,Montserrat (United Kingdom),13.4,0
508,Mozambique,0.504,0
104,Myanmar,1.421,0
516,Namibia,4.956,0
520,Nauru,12,0
524,Nepal,1.074,0
540,New Caledonia (France),34.908,0
558,Nicaragua,1.913,0
562,Niger,0.555,0
566,Nigeria,2.361,0
408,North Korea,0.636,0
585,Palau,15.556,0
275,Palestine,3.425,0
591,Panama,15.729,0
598,Papua New Guinea,2.845,0
600,Paraguay,5.406,0
630,Puerto Rico,35.795,0
646,Rwanda,0.82,0
678,São Tomé and Príncipe,1.958,0
659,Saint Kitts and Nevis,19.811,0
662,Saint Lucia,11.596,0
666,Saint Pierre and Miquelon,137.5,0
674,San Marino,47.118,0
686,Senegal,1.452,0
688,Serbia,6.775,0
690,Seychelles,17.327,0
694,Sierra Leone,0.527,0
534,Sint Maarten,24.024,0
90,Solomon Islands,1.943,0
706,Somalia,0.105,0
728,South Sudan,0.448,0
729,Sudan,0.815,0
740,Suriname,6.363,0
760,Syria,1.194,0
762,Tajikistan,0.894,0
834,Tanzania,1.085,0
768,Togo,0.9,0
776,Tonga,4.577,0
788,Tunisia,3.317,0
796,Turks and Caicos Islands,31.5,0
798,Tuvalu,3.917,0
800,Uganda,0.737,0
858,Uruguay,16.189,0
548,Vanuatu,3.02,0
887,Yemen,0.855,0
894,Zambia,1.292,0
716,Zimbabwe,1.464,0
